0.15,0.06,0.07,0.07,0.21,0.26,0.38,0.44,0.51,0.61,0.73,0.82,0.93,1.02,1.15,1.23,1.37,1.48,1.56,1.59,1.63,1.62,1.61,1.59,1.52,1.45,1.37,1.30,1.20,1.07,0.93,0.83,0.72,0.65,0.53,0.47,0.43,0.37,0.32,0.30,0.25,0.21,0.24,0.14,0.12,0.13,0.12,0.08,0.05,0.06
0.19,0.05,0.05,0.06,0.22,0.27,0.34,0.44,0.48,0.60,0.76,0.88,0.92,1.03,1.12,1.31,1.37,1.46,1.54,1.60,1.64,1.66,1.65,1.62,1.57,1.51,1.45,1.35,1.24,1.10,0.96,0.85,0.78,0.71,0.61,0.50,0.42,0.40,0.34,0.29,0.26,0.23,0.17,0.20,0.17,0.11,0.17,0.12,0.10,0.05
0.14,0.03,0.07,0.07,0.20,0.27,0.35,0.45,0.51,0.63,0.76,0.80,0.91,1.02,1.14,1.29,1.41,1.50,1.57,1.61,1.66,1.66,1.64,1.62,1.58,1.54,1.46,1.38,1.28,1.16,1.02,0.97,0.88,0.72,0.63,0.59,0.48,0.42,0.38,0.33,0.30,0.27,0.21,0.23,0.15,0.12,0.18,0.12,0.12,0.10
0.12,0.04,0.06,0.03,0.07,0.24,0.34,0.40,0.48,0.60,0.67,0.79,0.88,0.99,1.12,1.23,1.34,1.46,1.55,1.61,1.62,1.64,1.65,1.64,1.61,1.55,1.47,1.39,1.31,1.16,1.07,0.97,0.91,0.73,0.65,0.58,0.51,0.42,0.39,0.35,0.32,0.29,0.27,0.22,0.22,0.14,0.16,0.16,0.12,0.10
0.15,0.04,0.08,0.06,0.10,0.21,0.31,0.38,0.47,0.55,0.69,0.77,0.90,0.99,1.11,1.22,1.34,1.43,1.51,1.54,1.58,1.62,1.61,1.59,1.56,1.51,1.47,1.42,1.33,1.23,1.13,1.00,0.89,0.77,0.65,0.60,0.53,0.47,0.39,0.35,0.31,0.25,0.22,0.22,0.23,0.13,0.14,0.16,0.18,0.15
0.04,0.05,0.06,0.03,0.05,0.05,0.07,0.06,0.21,0.27,0.34,0.39,0.45,0.50,0.59,0.68,0.91,1.07,1.20,1.28,1.34,1.37,1.39,1.41,1.42,1.39,1.33,1.31,1.23,1.08,1.04,0.98,0.91,0.81,0.55,0.50,0.43,0.38,0.30,0.06,0.12,0.11,0.19,0.24,0.22,0.20,0.18,0.18,0.15,0.14
0.09,0.05,0.05,0.06,0.09,0.03,0.28,0.32,0.41,0.49,0.58,0.68,0.79,0.92,0.99,1.10,1.19,1.29,1.37,1.40,1.36,1.41,1.44,1.47,1.44,1.42,1.42,1.49,1.38,1.26,1.14,1.09,0.94,0.82,0.74,0.68,0.62,0.53,0.45,0.37,0.32,0.07,0.06,0.04,0.06,0.04,0.05,0.03,0.03,0.04
0.09,0.05,0.06,0.05,0.06,0.09,0.13,0.25,0.30,0.37,0.44,0.52,0.64,0.73,0.84,0.92,1.02,1.12,1.19,1.27,1.31,1.33,1.37,1.39,1.37,1.35,1.31,1.26,1.20,1.14,1.06,0.96,0.96,0.86,0.76,0.62,0.56,0.48,0.43,0.39,0.32,0.29,0.27,0.26,0.28,0.18,0.22,0.23,0.14,0.15
0.06,0.06,0.09,0.07,0.06,0.05,0.18,0.29,0.36,0.43,0.53,0.62,0.70,0.79,0.85,0.99,1.04,1.13,1.21,1.27,1.31,1.19,1.23,1.26,1.27,1.23,1.20,1.13,1.09,1.00,0.91,0.80,0.73,0.69,0.06,0.04,0.06,0.05,0.05,0.04,0.04,0.03,0.03,0.02,0.03,0.02,0.02,0.02,0.02,0.02
0.06,0.06,0.05,0.05,0.04,0.07,0.07,0.23,0.27,0.35,0.41,0.50,0.56,0.66,0.77,0.82,0.92,1.05,1.06,1.14,1.19,1.24,1.28,1.32,1.32,1.31,1.32,1.27,1.19,1.15,1.05,0.93,0.84,0.80,0.63,0.56,0.48,0.35,0.20,0.08,0.08,0.03,0.04,0.03,0.07,0.05,0.02,0.02,0.03,0.03
